"student_id";"NAME";"EMAIL";"ADDRESS"
1;"PRATIK";"pratik@gmail.com";"Aahilyanagar,maharastra"
2;"Aryan ";"Aryan@gmail.com";"pune,maharastra"
3;"chetan bhagat";"chetan@gmail.com";"pune,maharastra"
4;"Tanay";"tanay@gmail.com";"pune,maharastra"
5;"shubham sathe";"satheshhubham@gmail.com";"pune,maharastra"
6;"krushna";"krushna@gmail.com";"pune,maharastra"
7;"Aditya patil";"Adityapatil@gmail.com";"pune,maharastra"
8;"ram";"ram@gmail.com";"pune,maharastra"
9;"tejas";"tejas@gmail.com";"pune,maharastra"
10;"om ";"om@gmail.com";"pune,maharastra"
